state|city|latitude|longitude|summary|success|suicide|attack_type|target_type|target|group_name|motive|weapon_type|weapon_detail|property_damage|property_comment|date
Idaho|Bonners Ferry|48.684131|-116.316826|04/21/2016: Assailants set fire to St. Ann's Catholic Church in Bonners Ferry, Idaho, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Catholic Church|Unknown||Arson/Fire||Major (likely >= $1 million but < $1 billion)|Sources estimated that the fire caused $1,000,000 in damages to the church.|2016-04-21
Massachusetts|Haverhill|42.7678|-71.04865|04/26/2016: Assailants set fire to Riverside Church in Haverhill, Massachusetts, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Minor (likely < $1 million)|Two exterior doors, several window frames, sections of vinyl sided walls, the rear entrance, and one side of the exterior of the church were damaged in this attack.|2016-04-26
Washington|Vancouver|45.672237|-122.65879299999999|05/25/2016: Assailants set fire to the First Congregational Church in Vancouver, Washington, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Major (likely >= $1 million but < $1 billion)|A church was damaged in this attack.|2016-05-25
California|Modesto|37.664764|-120.994427|05/25/2016: Assailants threw an incendiary device at the Planned Parenthood Modesto Heath Center in Modesto, California, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Clinics|Health Center|Unknown||Gasoline or Alcohol|A thrown gas can was used in the attack.|Minor (likely < $1 million)|A building was damaged in this attack.|2016-05-25
Washington|Vancouver|45.710821|-122.63503899999999|05/26/2016: Assailants set fire to the Liberty Bible Church in Vancouver, Washington, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Minor (likely < $1 million)|A church was damaged in this attack.|2016-05-26
New York|New York City|40.697132|-73.931351|06/05/2016: An assailant threw a Molotov cocktail at St. Paul's Memorial Church in Staten Island, New York City, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Episcopal Church|Unknown||Molotov Cocktail/Petrol Bomb|A Molotov cocktail was used in the attack.|Minor (likely < $1 million)|A church was damaged in this attack.|2016-06-05
New York|New York City|40.697132|-73.931351|06/09/2016: An assailant threw a Molotov cocktail at First Central Baptist Church in Staten Island, New York City, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|First Central Baptist Church|Unknown||Molotov Cocktail/Petrol Bomb|A Molotov cocktail was used in the attack.|Minor (likely < $1 million)|A church was damaged in this attack.|2016-06-09
Florida|Orlando|28.519601|-81.37679399999999|06/12/2016: An assailant armed with an assault rifle and a handgun opened fire on customers at Pulse, a gay nightclub, in Orlando, Florida, United States. The assailant then held an unknown number of people hostage inside the nightclub for three hours. At least 49 people were killed and 53 people were injured during the attack before the assailant was killed by police officers, who also rescued 30 hostages. The assailant, identified as Omar Mateen, had pledged allegiance to the Islamic State of Iraq and the Levant (ISIL). Additionally, Mateen stated that he carried out the attack in retaliation for U.S. airstrikes in Iraq and Syria. The Islamic State of Iraq and the Levant (ISIL) also claimed responsibility for the incident; however, Omar Mateen's connection to ISIL could not be confirmed.|1|0|Hostage Taking (Barricade Incident)|Entertainment/Cultural/Stadium/Casino|Nightclub|Jihadi-inspired extremists|An unaffiliated individual, identified as Omar Mateen, claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL). Additionally, Mateen stated that he carried out the attack in retaliation for United States (US) airstrikes in Iraq and Syria.|Automatic or Semi-Automatic Rifle|A Sig Sauer MCX assault rifle and a Glock 17 handgun were used in the attack.|Minor (likely < $1 million)|The Pulse nightclub sustained unspecified damages in this attack.|2016-06-12
Nevada|Las Vegas|36.211296000000004|-115.24753600000001|"06/18/2016: An assailant attempted to assassinate presidential candidate Donald Trump at a campaign rally in Las Vegas, Nevada, United States. The assailant was arrested as he tried to remove a gun from the holster of a police officer. Michael Steven Sandford claimed responsibility for the incident. Sandford stated that he targeted Trump because he believed ""somebody had to stand up for America"" and told the Secret Service that he had planned for over a year to assassinate Trump."|0|0|Assassination|Political Party Member/Rally|Presidential Candidate: Donald Trump|Anti-Trump extremists|"An unaffiliated individual, identified as Michael Steven Sandford, claimed responsibility for the incident and stated that he targeted Donald Trump because he believed ""somebody had to stand up for America."""|Handgun|A handgun was used in the attack.|||2016-06-18
Virginia|Stephens City|39.111992|-78.193905|06/19/2016: An explosive device was discovered and safely defused at Life Church in Stephens City, Virginia, United States. No group claimed responsibility for the incident.|0|0|Bombing/Explosion|Place of Worship|Church|Unknown||Letter Bomb|An explosives-laden package was used in the attack.|||2016-06-19
Missouri|St. Louis|38.656298|-90.413024|07/04/2016: Assailants attempted to set fire to a building that formerly housed the Temple Israel House in St. Louis, Missouri, United States. There were no reported casualties in the attack. No group claimed responsibility; however, sources suspected that the assailants may be members of the Black Hebrew Israelites.|0|0|Facility/Infrastructure Attack|Place of Worship|Former Synagogue|Black Hebrew Israelites||Arson/Fire||Minor (likely < $1 million)|A building was damaged in this attack.|2016-07-04
Missouri|St. Louis|38.70333|-90.248796|07/05/2016: Assailants set fire to the Greater St. Paul Missionary Baptist Church in St. Louis, Missouri, United States. There were no reported casualties in the attack. No group claimed responsibility; however, sources suspected that the assailants may be members of the Black Hebrew Israelites.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Black Hebrew Israelites||Arson/Fire||Minor (likely < $1 million)|A church was damaged in this attack.|2016-07-05
Missouri|St. Louis|38.608081|-90.224879|"07/06/2016: Assailants attempted to set fire to the Church of Christ in St. Louis, Missouri, United States. Assailants also spray painted ""Stop Preaching False Doctrine"" and ""America is Sodom and Gomorrah."" No group claimed responsibility for the incident; however, sources suspected the involvement of the Black Hebrew Israelites."|0|0|Facility/Infrastructure Attack|Place of Worship|Church|Black Hebrew Israelites|"The specific motive is unknown; however, sources noted that the assailants wrote ""Stop Preaching False Doctrine"" and  ""America is Sodom and Gomorrah"" on the church."|Arson/Fire||||2016-07-06
Texas|Dallas|32.779578|-96.804259|"07/07/2016: An assailant opened fire on police officers at a Black Lives Matter protest in Dallas, Texas, United States. Five police officers were killed and nine people, including officers and civilians, were injured in the attack. The assailant was killed during a standoff with police forces following the shooting. Micah Xavier Johnson claimed responsibility for the incident and stated that he ""wanted to kill white people."""|1|0|Armed Assault|Police Security Forces/Officers|Officers|Anti-White extremists|"An unaffiliated individual, identified as Micah Xavier Johnson, claimed responsibility for the incident and stated that he ""wanted to kill white people, especially white officers."""|Automatic or Semi-Automatic Rifle|An SKS rifle, a Glock 19 Gen4 pistol, and a Fraser .25-caliber handgun were used in the attack|Minor (likely < $1 million)|Unspecified property was damaged in this attack.|2016-07-07
Tennessee|Bristol|36.58886|-82.18596099999999|"07/07/2016: An assailant opened fire on police officers and civilians in Bristol, Tennessee, United States. One person was killed and four others, including a police officer and the assailant, were injured in the attack. Lakeem Keon Scott claimed responsibility for the incident and stated that he carried out the attack because he was upset with the deaths of African Americans by authorities in Louisiana and Minnesota. Additionally, witnesses reported Scott shouting, ""Police suck! Black lives matter!"" during the attack."|1|0|Armed Assault|Police Security Forces/Officers|Officers|Anti-Police extremists|"An unaffiliated individual, identified as Lakeem Keon Scott, claimed responsibility for the incident and stated that he carried out the attack because he was upset with the deaths of African Americans by authorities in Louisiana and Minnesota. Sources also noted that Scott yelled ""Police suck! Black lives matter!"" during the attack."|Automatic or Semi-Automatic Rifle|An AR-15 and a .45-caliber pistol were used in the attack.|Minor (likely < $1 million)|Vehicles were damaged in this attack.|2016-07-07
Texas|College Station|30.62228|-96.34751800000001|07/07/2016: An assailant opened fire on an Islamic Community center in College Station, Texas, United States. There were no reported casualties in the assault. No group claimed responsibility; however, sources suspected that the attack was carried out by anti-Muslim extremists.|1|0|Armed Assault|Affiliated Institution|Islamic Community Center|Anti-Muslim extremists|The specific motive is unknown; however, sources suspected that the attack may have been the result of Islamophobia.|Unknown Gun Type||Minor (likely < $1 million)|An Islamic community center was damaged in this attack.|2016-07-07
Texas|San Antonio|29.406786|-98.481201|07/09/2016: An assailant opened fire on a police station in San Antonio, Texas, United States. There were no casualties in the attack. No group claimed responsibility for the incident.|1|0|Armed Assault|Police Building (headquarters, station, school)|Police Station|Unknown||Unknown Gun Type||Minor (likely < $1 million)|A police station was damaged in this attack.|2016-07-09
Louisiana|Baton Rouge|30.433483000000003|-91.080857|"07/17/2016: An assailant opened fire on police in Baton Rouge, Louisiana, United States. Four people, including three police officers and the assailant, were killed and three officers were injured in the assault. Gavin Long, an anti-police extremist, claimed responsibility for the incident and stated that ""he needed to bring destruction 'upon bad cops as well as good cops' because of what he saw as the justice system's failure to prosecute bad police officers who commit crimes against 'my people.'"""|1|0|Armed Assault|Police Security Forces/Officers|Officers|Anti-Police extremists|"Gavin Long, an anti-police extremist, claimed responsibility for the incident and stated that ""he needed to bring destruction 'upon bad cops as well as good cops' because of what he saw as the justice system's failure to prosecute bad police officers who commit crimes against 'my people.'"""|Handgun|A IWA Tavor SAR 5.56-caliber rifle and Springfield XD 9.9-mm pistol were used in the attack.|||2016-07-17
Florida|Daytona Beach|29.200533|-81.034508|"07/17/2016: An assailant threw an incendiary device at a parked police vehicle in Daytona Beach, Florida, United States. There were no reported casualties in the attack. An unknown anti-police extremist group claimed responsibility for the incident in a note left at the scene and stated ""Black Lives Matter"" while also mentioning Alton Sterling and Philando Castile."|1|0|Facility/Infrastructure Attack|Police Patrol (including vehicles and convoys)|Vehicle|Anti-Police extremists|"An unknown group or individual claimed responsibility for the incident in a note left at the scene and stated ""Black Lives Matter"" and mentioned Alton Sterling and Philando Castile."|Molotov Cocktail/Petrol Bomb|A Molotov cocktail was used in the attack.|Minor (likely < $1 million)|A police vehicle was damaged in this attack.|2016-07-17
Florida|Tampa|28.011484999999997|-82.373941|07/17/2016: Assailants set fire to the Islamic Education Center in Tampa, Florida, United States. There were no reported casualties. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|School/University/Educational Building|Education Center|Unknown||Arson/Fire||Minor (likely < $1 million)|An Islamic education center was damaged in this attack.|2016-07-17
Nevada|Las Vegas|36.211296000000004|-115.24753600000001|07/25/2016: An assailant set fire to a Mormon church in Las Vegas, Nevada, United States. There were no reported casualties. This was one of two related arson attacks in Las Vegas on this date. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Place of Worship|Mormon Church|Unknown||Arson/Fire||Minor (likely < $1 million)|A church building was damaged in this attack.|2016-07-25
Nevada|Las Vegas|36.211296000000004|-115.24753600000001|07/25/2016: An assailant set fire to a firefighters' union hall in Las Vegas, Nevada, United States. There were no reported casualties. This was one of two related arson attacks in Las Vegas on this date. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Fire Fighter/Truck|Union Hall|Unknown||Arson/Fire||Minor (likely < $1 million)|A building was damaged in this attack.|2016-07-25
Florida|Tampa|27.987652|-82.550249|07/27/2016: Assailants set fire to the Islamic Education Center in Tampa, Florida, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|School/University/Educational Building|Education Center|Unknown||Arson/Fire||Minor (likely < $1 million)|An Islamic education center was damaged in this attack.|2016-07-27
Iowa|Oskaloosa|41.291672999999996|-92.64935899999999|07/31/2016: Assailants set fire to a construction site for the Dakota Access pipeline near Oskaloosa, Iowa, United States. There were no casualties in the attack. This was one of three related arson attacks on construction equipment for the pipeline in two days. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Oil|Construction Site of Dakota Access Oil Pipeline|Unknown||Arson/Fire||Minor (likely < $1 million)|Damage estimates represent a division of the total amount of damages ($1 million USD) across incidents 201607310050, 201608010027, 201608010028.|2016-07-31
Iowa|Newton|41.703317999999996|-93.057353|08/01/2016: Assailants set fire to a construction site for the Dakota Access pipeline west of Newton, Iowa, United States. There were no reported casualties in the attack. This was one of three related arson attacks on construction equipment for the pipeline in two days. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Oil|Dakota Access Oil Pipeline Construction Site|Unknown|The specific motive is unknown; however, sources noted that there was opposition to the Dakota Access Pipeline.|Arson/Fire||Minor (likely < $1 million)|Damage estimates represent a division of the total amount of damages ($1 million USD) across incidents 201607310050, 201608010027, 201608010028.|2016-08-01
Iowa|Reasnor|41.577354|-93.02400300000001|08/01/2016: Assailants set fire to a construction site for the Dakota Access pipeline southeast of Reasnor, Iowa, United States. There were no reported casualties in the attack. This was one of three related arson attacks on construction equipment for the pipeline in two days. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Oil|Dakota Access Oil Pipeline Construction Site|Unknown|The specific motive is unknown; however, sources noted that there was opposition to the Dakota Access Pipeline.|Arson/Fire||Minor (likely < $1 million)|Damage estimates represent a division of the total amount of damages ($1 million USD) across incidents 201607310050, 201608010027, 201608010028.|2016-08-01
Florida|Tampa|28.032289000000002|-82.408025|08/04/2016: Assailants set fire to the Masjid Omar mosque in Tampa, Florida, United States. There were no casualties in the attack. This was one of two attacks on the same mosque in 12 hours. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Unknown||Gasoline or Alcohol|Gasoline was used in the attack.|Minor (likely < $1 million)|A mosque was damaged in this attack.|2016-08-04
Florida|Tampa|28.032289000000002|-82.408025|08/05/2016: Assailants set fire to the Masjid Omar mosque in Tampa, Florida, United States. There were no casualties in the attack. This was one of two attacks on the same mosque in 12 hours. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Unknown||Gasoline or Alcohol|Gasoline was used in the attack.|Minor (likely < $1 million)|A mosque sustained $25,000 USD in damage.|2016-08-05
New York|New City|41.154049|-73.99092900000001|08/09/2016: Assailants threw a firecracker at the house of Rabbi Avremel Kotlarsky in New City, New York, United States. There were no reported casualties in the attack. This was one of two coordinated attacks on the same night. No group claimed responsibility for the incidents.|1|0|Bombing/Explosion|Religious Figure|Rabbi: Avremel Kotlarsky|Unknown|The specific motive is unknown; however, sources suspected that the attack was anti-Semitic.|Other Explosive Type|A firecracker was used in the attack.|Minor (likely < $1 million)|Shrubs were damaged in this attack.|2016-08-09
New York|New City|41.154049|-73.99092900000001|08/09/2016: Assailants threw a firecracker at the house of Rabbi Simcha Morgenstern in New City, New York, United States. There were no reported casualties in the attack. This was one of two coordinated attacks on the same night. No group claimed responsibility for the incidents.|1|0|Bombing/Explosion|Religious Figure|Rabbi: Simcha Morgenstern|Unknown|The specific motive is unknown; however, sources suspected that the attack was anti-Semitic.|Other Explosive Type|A firecracker was used in the attack.|||2016-08-09
New York|Endicott|42.095085|-76.059599|"08/10/2016: An assailant set fire to a residence in Endicott, New York, United States. The offender placed gasoline-filled cans throughout the house as obstacles and spray-painted the anti-police message ""lie with pigs, fry like bacon"" on an exterior wall of the house before starting the blaze. The family sleeping inside the house escaped, and no injuries were reported. No group claimed responsibility; however, authorities arrested and charged firefighter Jason T. Stokes with starting the fire at his own house."|1|0|Facility/Infrastructure Attack|House/Apartment/Residence|House|Unknown|"The specific motive is unknown; however, sources noted that the assailant spray-painted ""Lie with pigs, fry like bacon"" on the wall of the targeted house."|Gasoline or Alcohol|Gasoline was used in the attack.|Minor (likely < $1 million)|A house was damaged in this attack.|2016-08-10
New York|New York City|40.697132|-73.931351|08/13/2016: Assailants opened fire on an Imam, Maulama Akonjee, and his assistant, Thara Uddin, in Queens, New York City, United States. Akonjee and Uddin were killed in the attack. No group claimed responsibility, though authorities arrested Oscar Morel in connection with the incident.|1|0|Armed Assault|Religious Figure|Imam: Maulama Akonjee|Unknown|The specific motive is unknown; however, sources suspected that the attack may have been carried out in retaliation for the deaths of members of the Hispanic community by alleged Muslims.|Unknown Gun Type||||2016-08-13
Virginia|Roanoke|37.27097|-79.941427|08/20/2016: An assailant stabbed and injured two civilians at an apartment complex in Roanoke, Virginia, United States. The assailant was also injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as Wasil Farooqui.|1|0|Armed Assault|Unnamed Civilian/Unspecified|Civilians|Unknown|The specific motive is unknown; however, sources noted that the Federal Bureau of Investigation (FBI) was investigating if the attack was inspired by the Islamic State of Iraq and the Levant (ISIL).|Knife or Other Sharp Object|A knife was used in the attack.|||2016-08-20
Massachusetts|Salem|42.521477000000004|-70.89553199999999|08/23/2016: An explosive device detonated in a Rainbow Times newspaper box in Salem, Massachusetts, United States. There were no reported casualties in the blast. No group claimed responsibility for the incident.|1|0|Bombing/Explosion|Newspaper Journalist/Staff/Facility|Newspaper Box|Unknown||Unknown Explosive Type||Minor (likely < $1 million)|A newspaper box was damaged in this attack.|2016-08-23
Nevada|Las Vegas|36.197294|-115.131528|09/02/2016: Assailants set fire to the Holy Trinity African Methodist Episcopal Church in Las Vegas, Nevada, United States. There were no reported casualties. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Minor (likely < $1 million)|A church was damaged in this attack.|2016-09-02
Florida|Fort Pierce|27.374522|-80.337837|09/12/2016: An assailant set fire to the Islamic Center mosque in Fort Pierce, Florida, United States. There were no reported casualties in the attack. Joseph Michael Schreiber was arrested and claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Anti-Muslim extremists|The specific motive is unknown; however, sources noted that Omar Mateen, the assailant who carried out the Orlando attack in June 2016, had attended the targeted mosque. Sources also noted that Joseph Michael Schreiber was Islamophobic.|Arson/Fire||Unknown|A mosque was damaged in this attack.|2016-09-12
Pennsylvania|Philadelphia|40.008171000000004|-75.13549|09/16/2016: An assailant shot and injured police sergeant Sylvia Young in Philadelphia, Pennsylvania, United States. When officers responded, the assailant proceeded to shoot at additional targets, including people sitting in a tavern and in a vehicle, and another police officer in an alley. The assailant and one civilian were killed and five people, including two police officers, were injured in the attack. Nicholas Glenn claimed responsibility for the incident and stated in a note left at the scene that he hated police officers.|1|0|Armed Assault|Police Security Forces/Officers|Officer: Sergeant Sylvia Young|Anti-Police extremists|An unaffiliated individual, identified as Nicholas Glenn, claimed responsibility for the incident and stated in a note left at the scene that he disliked authorities.|Handgun|A 9-mm Ruger semiautomatic handgun was used in the attack.|Minor (likely < $1 million)|A bar and a police car were damaged in this attack.|2016-09-16
New Jersey|Seaside Park|39.925457|-74.07475699999999|09/17/2016: An explosive device detonated in Seaside Park, New Jersey, United States. It is believed that the blast was targeting a military charity race but failed to cause any casualties as the race was late to begin. Ahmad Khan Rahami claimed responsibility for this incident and three similar bombings that occurred between September 17 and September 18, 2016 in New York and New Jersey. Sources suspected that Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki in his journal.|1|0|Bombing/Explosion|Procession/Gathering (funeral, wedding, birthday, religious)|Charity Race|Jihadi-inspired extremists|The specific motive is unknown; however, sources suspected that Ahmad Khan Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki within his journal.|Remote Trigger|Three pipe bombs planted inside a garbage can and utilizing a flip phone as a triggering mechanism were used in the attack.|Minor (likely < $1 million)|A garbage can was damaged in this attack.|2016-09-17
New York|New York City|40.697132|-73.931351|09/17/2016: An explosive device detonated in the Chelsea neighborhood of Manhattan, New York City, United States. At least 29 people were injured in the blast. Ahmad Khan Rahami claimed responsibility for this incident and three similar bombings that occurred between September 17 and September 18, 2016 in New York and New Jersey. Sources suspected that Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki in his journal.|1|0|Bombing/Explosion|Unnamed Civilian/Unspecified|Civilians|Jihadi-inspired extremists|The specific motive is unknown; however, sources suspected that Ahmad Khan Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki within his journal.|Remote Trigger|A remote-controlled explosive device utilizing a flip phone as a triggering mechanism and containing ball bearings and BBs was used in the attack.|Minor (likely < $1 million)|A dumpster was damaged in this attack.|2016-09-17
New York|New York City|40.697132|-73.931351|09/17/2016: Security forces discovered and defused an explosive device in the Chelsea neighborhood of Manhattan, New York City, United States. The device was discovered several blocks away from an explosion that occurred earlier the same day. Ahmad Khan Rahami claimed responsibility for this incident and three similar bombings that occurred between September 17 and September 18, 2016 in New York and New Jersey. Sources suspected that Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki in his journal.|0|0|Bombing/Explosion|Unnamed Civilian/Unspecified|Civilians|Jihadi-inspired extremists|The specific motive is unknown; however, sources suspected that Ahmad Khan Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki within his journal.|Remote Trigger|An explosives-laden pressure cooker utilizing a flip phone as a triggering mechanism and containing ball bearings and BBs was used in the attack.|||2016-09-17
Minnesota|St. Cloud|45.555575|-94.210178|09/17/2016: An assailant stabbed and injured 10 people at the Crossroads Center shopping mall in St. Cloud, Minnesota, United States. The assailant, identified as Dahir Ahmed Adan, was shot and killed by a police officer. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident; however, Adan's connection to ISIL could not be confirmed.|1|0|Armed Assault|Retail/Grocery/Bakery|Shopping Mall|Jihadi-inspired extremists|"The specific motive is unknown; however, James Comey, the director of the Federal Bureau of Investigation (FBI) stated that Dahir Ahmed Adan seemed to have been inspired by ""radical Islamic groups."""|Knife or Other Sharp Object|A knife was used in the attack.|||2016-09-17
New Jersey|Elizabeth|40.666781|-74.215785|09/18/2016: Security forces discovered and attempted to defuse five explosive devices near a train station in Elizabeth, New Jersey, United States. One device detonated but failed to cause any casualties. Ahmad Khan Rahami claimed responsibility for this incident and three similar bombings that occurred between September 17 and September 18, 2016 in New York and New Jersey. Sources suspected that Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki in his journal.|1|0|Bombing/Explosion|Train/Train Tracks/Trolley|Elizabeth Train Station|Jihadi-inspired extremists|The specific motive is unknown; however, sources suspected that Ahmad Khan Rahami may have been inspired by Abu Muhammad al Adnani, a spokesperson for the Islamic State of Iraq and the Levant (ISIL). Sources also noted that Rahami admired Osama bin Laden and Anwar al-Awlaki within his journal.|Remote Trigger|Five pipe bombs utilizing a flip phone as a triggering mechanism and planted inside a backpack were used in the attack.|Minor (likely < $1 million)|A bomb defusing robot was damaged in this attack.|2016-09-18
Missouri|Kansas City|39.176086|-94.574127|09/24/2016: Assailants set fire to the Islamic Center of Northland in Kansas City, Missouri, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Unknown||Molotov Cocktail/Petrol Bomb|Two Molotov cocktails were used in the attack.|Minor (likely < $1 million)|A mosque was damaged in this attack.|2016-09-24
Nebraska|Lincoln|40.846274|-96.700467|10/03/2016: Assailants set fire to the Belmont Baptist Church in Belmont, Nebraska, United States. There were no reported casualties. This was one of two arson attacks targeting the church on this date. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Minor (likely < $1 million)|A church was damaged in this attack.|2016-10-03
Nebraska|Lincoln|40.846244|-96.700429|10/03/2016: Assailants set fire to the Belmont Baptist Church in Lincoln, Nebraska, United States. There were no reported casualties in the incident. This was one of two arson attacks targeting the same church on this date. No group claimed responsibility for the incidents.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Minor (likely < $1 million)|A church was damaged in this attack.|2016-10-03
Indiana|Indianapolis|39.825657|-86.227067|"10/04/2016: An assailant opened fire on the Indianapolis Metropolitan Police Department northwest district headquarters in Indianapolis, Indiana, United States. There were no reported casualties in the assault. Authorities arrested an anti-white extremist, identified as Damoine A. Wilcoxson, in connection with the attack. Sources indicated that a note left at the scene declared ""war on white people,"" and that Wilcoxson made statements online calling for ""social justice and retribution."""|1|0|Armed Assault|Police Building (headquarters, station, school)|Headquarters|Anti-White extremists|"In a note left at the scene, Damoine A. Wilcoxson claimed responsibility for the incident and announced a ""war on white people."""|Automatic or Semi-Automatic Rifle|A semiautomatic assault rifle was used in the attack.|Minor (likely < $1 million)|A police station was damaged in this attack.|2016-10-04
Florida|Century|30.963733|-87.267362|10/09/2016: Assailants set fire to Wesley Chapel Church in Century, Florida, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Church|Unknown||Arson/Fire||Unknown|A church was damaged in this attack.|2016-10-09
Indiana|Indianapolis|39.826113|-86.227124|"10/13/2016: An assailant opened fire on the Indianapolis Metropolitan Police Department north district headquarters in Indianapolis, Indiana, United States. There were no reported casualties in the assault. Authorities arrested an anti-white extremist, identified as Damoine A. Wilcoxson, in connection with the attack. Sources indicated that a note left at the scene declared ""war on white people,"" and that Wilcoxson made statements online calling for ""social justice and retribution."""|1|0|Armed Assault|Police Building (headquarters, station, school)|Headquarter|Anti-White extremists|"In a note left at the scene, Damoine A. Wilcoxson claimed responsibility for the incident and announced a ""war on white people."""|Automatic or Semi-Automatic Rifle|A semiautomatic assault rifle was used in the attack.|Minor (likely < $1 million)|A police station was damaged in this attack.|2016-10-13
Iowa|Reasnor|41.578663|-93.022688|10/15/2016: Assailants set fire to construction equipment for the Dakota Access oil pipeline in Reasnor, Iowa, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Gas/Oil/Electric|Oil Pipeline Construction Equipment|Unknown|The specific motive is unknown; however, sources noted that there was opposition to the Dakota Access Pipeline.|Arson/Fire||Major (likely >= $1 million but < $1 billion)|Oil pipeline construction equipment was damaged in this attack.|2016-10-15
North Carolina|Hillsborough|36.060668|-79.101578|"10/16/2016: Assailants threw a Molotov cocktail targeting a Republican Party (GOP) office in Hillsborough, North Carolina, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources noted that the assailants spray-painted ""Nazi Republicans leave town or else"" on the building."|1|0|Facility/Infrastructure Attack|Political Party Member/Rally|Office|Unknown|"The specific motive is unknown; however, sources noted that the assailants spray-painted ""Nazi Republicans leave town or else"" on the targeted office."|Molotov Cocktail/Petrol Bomb|A firebomb was used in the attack.|Minor (likely < $1 million)|A political office was damaged in this attack.|2016-10-16
Iowa|Buena Vista County|42.670545000000004|-95.14320699999999|11/08/2016: Assailant set fire to Dakota Access Pipeline equipment in Buena Vista County, Iowa, United States. There were no reported casualties in the attack. Two unaffiliated individuals, identified as Jessica Reznicek and Ruby Montoya, claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Construction|Pipeline|Unknown|"An unaffiliated individual, identified as Jessica Reznicek, claimed responsibility for the incident and stated ""We are speaking publicly to empower others to act boldly, with purity of heart, to dismantle the infrastructures which deny us our rights to water, land and liberty."""|Arson/Fire||Minor (likely < $1 million)|Unspecified equipment was damaged in this attack.|2016-11-08
